Object Number	Is Public Domain	Department	Object Name	Title	Culture	Artist Role	Artist Prefix	Artist Display Name	Artist Suffix	Artist Alpha Sort	Artist Nationality	Artist Begin Date	Artist End Date	Object Date	Object Begin Date	Object End Date	Medium	Dimensions	Credit Line	Acquisition Date	City	State	County	Country	Region	Classification	Rights and Reproduction	Link Resource	Repository
33.92ab	True	European Paintings	Painting, diptych	The Crucifixion; The Last Judgment		Artist		Jan van Eyck	and Workshop Assistant	Eyck, Jan van	Netherlandish	1390	1441	ca. 1440–41	1440	1441	Oil on canvas, transferred from wood	Each 22 1/4 x 7 2/3 in. (56.5 x 19.7 cm)	Fletcher Fund, 1933							Paintings		http://www.metmuseum.org/art/collection/search/436282	Metropolitan Museum of Art, New York, NY
49.7.49	True	European Paintings	Painting	The Love Letter		Artist		Jean Honoré Fragonard		Fragonard, Jean Honoré	French	1732	1806	early 1770s	1770	1773	Oil on canvas	32 3/4 x 26 3/8 in. (83.2 x 67 cm)	The Jules Bache Collection, 1949							Paintings		http://www.metmuseum.org/art/collection/search/436322	Metropolitan Museum of Art, New York, NY
20.155.1	True	European Paintings	Painting	Mrs. Grace Dalrymple Elliott (1754?–1823)		Artist		Thomas Gainsborough		Gainsborough, Thomas	British	1727	1788	1778	1778	1778	Oil on canvas	92 1/4 x 60 1/2in. (234.3 x 153.7cm)	Bequest of William K. Vanderbilt, 1920							Paintings		http://www.metmuseum.org/art/collection/search/436435	Metropolitan Museum of Art, New York, NY
1989.183	True	European Paintings	Painting	Evening: Landscape with an Aqueduct		Artist		Théodore Gericault		Gericault, Théodore	French	1791	1824	1818	1818	1818	Oil on canvas	98 1/2 x 86 1/2 in. (250.2 x 219.7 cm)	Purchase, Gift of James A. Moffett 2nd, in memory of George M. Moffett, by exchange, 1989							Paintings		http://www.metmuseum.org/art/collection/search/436455	Metropolitan Museum of Art, New York, NY
11.126.1	True	European Paintings	Painting	The Adoration of the Magi		Artist		Giotto di Bondone		Giotto di Bondone	Italian	1266	1337	possibly ca. 1320	1315	1325	Tempera on wood, gold ground	17 3/4 x 17 1/4 in. (45.1 x 43.8 cm)	John Stewart Kennedy Fund, 1911							Paintings		http://www.metmuseum.org/art/collection/search/436504	Metropolitan Museum of Art, New York, NY
1993.132	True	European Paintings	Painting	Wheat Field with Cypresses		Artist		Vincent van Gogh		Gogh, Vincent van	Dutch	1853	1890	1889	1889	1889	Oil on canvas	28 7/8 × 36 3/4 in. (73.2 × 93.4 cm)	Purchase, The Annenberg Foundation Gift, 1993							Paintings		http://www.metmuseum.org/art/collection/search/436535	Metropolitan Museum of Art, New York, NY
49.7.41	True	European Paintings	Painting	Manuel Osorio Manrique de Zuñiga (1784–1792)		Artist		Goya (Francisco de Goya y Lucientes)		Goya (Francisco de Goya y Lucientes)	Spanish	1746	1828	1787–88	1787	1788	Oil on canvas	50 x 40 in. (127 x 101.6 cm)	The Jules Bache Collection, 1949							Paintings		http://www.metmuseum.org/art/collection/search/436545	Metropolitan Museum of Art, New York, NY
29.100.5	True	European Paintings	Painting	Cardinal Fernando Niño de Guevara (1541–1609)		Artist		El Greco (Domenikos Theotokopoulos)		Greco, El (Domenikos Theotokopoulos)	Greek	1540	1614	ca. 1600	1595	1605	Oil on canvas	67 1/4 x 42 1/2in. (170.8 x 108cm)	H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929							Paintings		http://www.metmuseum.org/art/collection/search/436573	Metropolitan Museum of Art, New York, NY
29.100.6	True	European Paintings	Painting	View of Toledo		Artist		El Greco (Domenikos Theotokopoulos)		Greco, El (Domenikos Theotokopoulos)	Greek	1540	1614	ca. 1598–99	1598	1599	Oil on canvas	47 3/4 x 42 3/4 in. (121.3 x 108.6 cm)	H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929							Paintings		http://www.metmuseum.org/art/collection/search/436575	Metropolitan Museum of Art, New York, NY
20.155.8	True	European Paintings	Painting	Broken Eggs		Artist		Jean-Baptiste Greuze		Greuze, Jean-Baptiste	French	1725	1805	1756	1756	1756	Oil on canvas	28 3/4 x 37 in. (73 x 94 cm)	Bequest of William K. Vanderbilt, 1920							Paintings		http://www.metmuseum.org/art/collection/search/436579	Metropolitan Museum of Art, New York, NY
1984.459.2	True	European Paintings	Painting	Samson Captured by the Philistines		Artist		Guercino (Giovanni Francesco Barbieri)		Guercino (Giovanni Francesco Barbieri)	Italian	1591	1666	1619	1619	1619	Oil on canvas	75 1/4 x 93 1/4 in. (191.1 x 236.9 cm)	Gift of Mr. and Mrs. Charles Wrightsman, 1984							Paintings		http://www.metmuseum.org/art/collection/search/436603	Metropolitan Museum of Art, New York, NY
14.40.602	True	European Paintings	Painting	"Young Man and Woman in an Inn (""Yonker Ramp and His Sweetheart"")"		Artist		Frans Hals		Hals, Frans	Dutch	1582	1666	1623	1623	1623	Oil on canvas	41 1/2 x 31 1/4 in. (105.4 x 79.4 cm)	Bequest of Benjamin Altman, 1913							Paintings		http://www.metmuseum.org/art/collection/search/436616	Metropolitan Museum of Art, New York, NY
14.40.605	True	European Paintings	Painting	Merrymakers at Shrovetide		Artist		Frans Hals		Hals, Frans	Dutch	1582	1666	ca. 1616–17	1616	1617	Oil on canvas	51 3/4 x 39 1/4 in. (131.4 x 99.7 cm)	Bequest of Benjamin Altman, 1913							Paintings		http://www.metmuseum.org/art/collection/search/436622	Metropolitan Museum of Art, New York, NY
50.135.4	True	European Paintings	Painting	Hermann von Wedigh III (died 1560)		Artist		Hans Holbein the Younger		Holbein, Hans, the Younger	German	1497	1543	1532	1532	1532	Oil and gold on oak	16 5/8 x 12 3/4 in. (42.2 x 32.4 cm), with added strip of 1/2 in. (1.3 cm) at bottom	Bequest of Edward S. Harkness, 1940							Paintings		http://www.metmuseum.org/art/collection/search/436658	Metropolitan Museum of Art, New York, NY
19.77.2	True	European Paintings	Painting	Madame Jacques-Louis Leblanc (Françoise Poncelle, 1788–1839)		Artist		Jean Auguste Dominique Ingres		Ingres, Jean Auguste Dominique	French	1780	1867	1823	1823	1823	Oil on canvas	47 x 36 1/2 in. (119.4 x 92.7 cm)	Catharine Lorillard Wolfe Collection, Wolfe Fund, 1918							Paintings		http://www.metmuseum.org/art/collection/search/436703	Metropolitan Museum of Art, New York, NY
64.148	True	European Paintings	Painting	Mäda Primavesi (1903–2000)		Artist		Gustav Klimt		Klimt, Gustav	Austrian	1862	1918	1912–13	1912	1913	Oil on canvas	59 x 43 1/2 in. (149.9 x 110.5 cm)	Gift of André and Clara Mertens, in memory of her mother, Jenny Pulitzer Steiner, 1964							Paintings		http://www.metmuseum.org/art/collection/search/436819	Metropolitan Museum of Art, New York, NY
60.3	True	European Paintings	Painting	The Fortune-Teller		Artist		Georges de La Tour		La Tour, Georges de	French	1593	1653	probably 1630s	1630	1639	Oil on canvas	40 1/8 x 48 5/8 in. (101.9 x 123.5 cm)	Rogers Fund, 1960							Paintings		http://www.metmuseum.org/art/collection/search/436838	Metropolitan Museum of Art, New York, NY
50.135.5	True	European Paintings	Painting	Elizabeth Farren (born about 1759, died 1829), Later Countess of Derby		Artist		Sir Thomas Lawrence		Lawrence, Thomas, Sir	British	1769	1830	1790	1790	1790	Oil on canvas	94 x 57 1/2 in. (238.8 x 146.1 cm)	Bequest of Edward S. Harkness, 1940							Paintings		http://www.metmuseum.org/art/collection/search/436851	Metropolitan Museum of Art, New York, NY
49.7.10	True	European Paintings	Painting	Madonna and Child		Artist		Filippino Lippi		Lippi, Filippino	Italian	1457	1504	ca. 1483–84	1483	1484	Tempera, oil, and gold on wood	32 x 23 1/2 in. (81.3 x 59.7 cm)	The Jules Bache Collection, 1949							Paintings		http://www.metmuseum.org/art/collection/search/436892	Metropolitan Museum of Art, New York, NY
89.15.19	True	European Paintings	Painting	Portrait of a Woman with a Man at a Casement		Artist		Fra Filippo Lippi		Lippi, Fra Filippo	Italian	1406	1469	ca. 1440	1435	1445	Tempera on wood	25 1/4 x 16 1/2 in. (64.1 x 41.9 cm)	Marquand Collection, Gift of Henry G. Marquand, 1889							Paintings		http://www.metmuseum.org/art/collection/search/436896	Metropolitan Museum of Art, New York, NY
1986.138	True	European Paintings	Painting	Venus and Cupid		Artist		Lorenzo Lotto		Lotto, Lorenzo	Italian	1475	1556		1523	1526	Oil on canvas	36 3/8 x 43 7/8 in. (92.4 x 111.4 cm)	Purchase, Mrs. Charles Wrightsman Gift, in honor of Marietta Tree, 1986							Paintings		http://www.metmuseum.org/art/collection/search/436918	Metropolitan Museum of Art, New York, NY
29.100.53	True	European Paintings	Painting	Mademoiselle V. . . in the Costume of an Espada		Artist		Édouard Manet		Manet, Édouard	French	1832	1883	1862	1862	1862	Oil on canvas	65 x 50 1/4 in. (165.1 x 127.6 cm)	H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929							Paintings		http://www.metmuseum.org/art/collection/search/436945	Metropolitan Museum of Art, New York, NY
29.100.115	True	European Paintings	Painting	Boating		Artist		Édouard Manet		Manet, Édouard	French	1832	1883	1874	1874	1874	Oil on canvas	38 1/4 x 51 1/4 in. (97.2 x 130.2 cm)	H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929							Paintings		http://www.metmuseum.org/art/collection/search/436947	Metropolitan Museum of Art, New York, NY
32.130.2	True	European Paintings	Painting	The Adoration of the Shepherds		Artist		Andrea Mantegna		Mantegna, Andrea	Italian	1430	1506	shortly after 1450	1450	1459	Tempera on canvas, transferred from wood	Overall 15 3/4 x 21 7/8 in. (40 x 55.6 cm); painted surface 14 7/8 x 21 in. (37.8 x 53.3 cm)	Purchase, Anonymous Gift, 1932							Paintings		http://www.metmuseum.org/art/collection/search/436966	Metropolitan Museum of Art, New York, NY
14.40.626–27	True	European Paintings	Painting	Tommaso di Folco Portinari (1428–1501); Maria Portinari (Maria Maddalena Baroncelli, born 1456)		Artist		Hans Memling		Memling, Hans	Netherlandish	1465	1494	ca. 1470	1465	1475	Oil on wood	(.626, Tommaso) overall 17 3/8 x 13 1/4 in. (44.1 x 33.7 cm), painted surface 16 5/8 x 12 1/2 in. (42.2 x 31.8 cm); (.627, Maria) overall 17 3/8 x 13 3/8 in. (44.1 x 34 cm); painted surface 16 5/8 x 12 5/8 in. (42.2 x 32.1 cm)	Bequest of Benjamin Altman, 1913							Paintings		http://www.metmuseum.org/art/collection/search/437056	Metropolitan Museum of Art, New York, NY
67.241	True	European Paintings	Painting	Garden at Sainte-Adresse		Artist		Claude Monet		Monet, Claude	French	1840	1926	1867	1867	1867	Oil on canvas	38 5/8 x 51 1/8 in. (98.1 x 129.9 cm)	Purchase, special contributions and funds given or bequeathed by friends of the Museum, 1967							Paintings		http://www.metmuseum.org/art/collection/search/437133	Metropolitan Museum of Art, New York, NY
43.13	True	European Paintings	Painting	Virgin and Child		Artist		Bartolomé Estebán Murillo		Murillo, Bartolomé Estebán	Spanish	1617	1682	ca. 1670–72	1670	1672	Oil on canvas	65 1/4 x 43 in. (165.7 x 109.2 cm)	Rogers Fund, 1943							Paintings		http://www.metmuseum.org/art/collection/search/437175	Metropolitan Museum of Art, New York, NY
36.14a–c	True	European Paintings	Painting, triptych	The Penitence of Saint Jerome		Artist		Joachim Patinir		Patinir, Joachim	Netherlandish	1515	1524	ca. 1512–15	1512	1515	Oil on wood	Shaped top: central panel, overall, with engaged frame, 46 1/4 x 32 in. (117.5 x 81.3 cm); each wing, overall, with engaged frame, 47 1/2 x 14 in. (120.7 x 35.6 cm)	Fletcher Fund, 1936							Paintings		http://www.metmuseum.org/art/collection/search/437261	Metropolitan Museum of Art, New York, NY
75.7.2	True	European Paintings	Painting	A Hunting Scene		Artist		Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio)		Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio)	Italian	1462	1522	ca. 1494–1500	1494	1500	Tempera and oil transferred to Masonite	27 3/4 x 66 3/4 in. (70.5 x 169.5 cm)	Gift of Robert Gordon, 1875							Paintings		http://www.metmuseum.org/art/collection/search/437283	Metropolitan Museum of Art, New York, NY
24.45.1	True	European Paintings	Painting	Blind Orion Searching for the Rising Sun		Artist		Nicolas Poussin		Poussin, Nicolas	French	1594	1665	1658	1658	1658	Oil on canvas	46 7/8 x 72 in. (119.1 x 182.9 cm)	Fletcher Fund, 1924							Paintings		http://www.metmuseum.org/art/collection/search/437326	Metropolitan Museum of Art, New York, NY
46.16	True	European Paintings	Painting	The Abduction of the Sabine Women		Artist		Nicolas Poussin		Poussin, Nicolas	French	1594	1665	probably 1633–34	1633	1634	Oil on canvas	60 7/8 x 82 5/8 in. (154.6 x 209.9 cm)	Harris Brisbane Dick Fund, 1946							Paintings		http://www.metmuseum.org/art/collection/search/437329	Metropolitan Museum of Art, New York, NY
16.30ab	True	European Paintings	Painting, altarpiece	Madonna and Child Enthroned with Saints		Artist		Raphael (Raffaello Sanzio or Santi)		Raphael (Raffaello Sanzio or Santi)	Italian	1483	1520	ca. 1504	1499	1509	Oil and gold on wood	Main panel, overall 67 7/8 x 67 7/8 in. (172.4 x 172.4 cm), painted surface 66 3/4 x 66 1/2 in. (169.5 x 168.9 cm); lunette, overall 29 1/2 x 70 7/8 in. (74.9 x 180 cm), painted surface 25 1/2 x 67 1/2 in. (64.8 x 171.5 cm)	Gift of J. Pierpont Morgan, 1916							Paintings		http://www.metmuseum.org/art/collection/search/437372	Metropolitan Museum of Art, New York, NY
61.198	True	European Paintings	Painting	Aristotle with a Bust of Homer		Artist		Rembrandt (Rembrandt van Rijn)		Rembrandt (Rembrandt van Rijn)	Dutch	1606	1669	1653	1653	1653	Oil on canvas	56 1/2 x 53 3/4 in. (143.5 x 136.5 cm)	Purchase, special contributions and funds given or bequeathed by friends of the Museum, 1961							Paintings		http://www.metmuseum.org/art/collection/search/437394	Metropolitan Museum of Art, New York, NY
14.40.618	True	European Paintings	Painting	Self-Portrait		Artist		Rembrandt (Rembrandt van Rijn)		Rembrandt (Rembrandt van Rijn)	Dutch	1606	1669	1660	1660	1660	Oil on canvas	31 5/8 x 26 1/2 in. (80.3 x 67.3 cm)	Bequest of Benjamin Altman, 1913							Paintings		http://www.metmuseum.org/art/collection/search/437397	Metropolitan Museum of Art, New York, NY
20.155.3	True	European Paintings	Painting	Captain George K. H. Coussmaker (1759–1801)		Artist		Sir Joshua Reynolds		Reynolds, Joshua, Sir	British	1723	1792	1782	1782	1782	Oil on canvas	93 3/4 x 57 1/4 in. (238.1 x 145.4 cm)	Bequest of William K. Vanderbilt, 1920							Paintings		http://www.metmuseum.org/art/collection/search/437447	Metropolitan Museum of Art, New York, NY
34.73	True	European Paintings	Painting	The Holy Family with Saints Anne and Catherine of Alexandria		Artist		Jusepe de Ribera (called Lo Spagnoletto)		Ribera, Jusepe de (called Lo Spagnoletto)	Spanish	1591	1652	1648	1648	1648	Oil on canvas	82 1/2 x 60 3/4 in. (209.6 x 154.3 cm)	Samuel D. Lee Fund, 1934							Paintings		http://www.metmuseum.org/art/collection/search/437455	Metropolitan Museum of Art, New York, NY
32.100.43	True	European Paintings	Painting	Francesco d'Este (born about 1430, died after 1475)		Artist		Rogier van der Weyden		Rogier van der Weyden	Netherlandish	1399	1464	ca. 1460	1455	1465	Oil on wood	Overall 12 1/2 x 8 3/4 in. (31.8 x 22.2 cm): painted surface, each side 11 3/4 x 8 in. (29.8 x 20.3 cm)	The Friedsam Collection, Bequest of Michael Friedsam, 1931							Paintings		http://www.metmuseum.org/art/collection/search/437487	Metropolitan Museum of Art, New York, NY
1981.238	True	European Paintings	Painting	Rubens, His Wife Helena Fourment (1614–1673), and Their Son Frans (1633–1678)		Artist		Peter Paul Rubens		Rubens, Peter Paul	Flemish	1577	1640	ca. 1635	1630	1640	Oil on wood	80 1/4 x 62 1/4 in. (203.8 x 158.1 cm)	Gift of Mr. and Mrs. Charles Wrightsman, in honor of Sir John Pope-Hennessy, 1981							Paintings		http://www.metmuseum.org/art/collection/search/437532	Metropolitan Museum of Art, New York, NY
14.40.623	True	European Paintings	Painting	Wheat Fields		Artist		Jacob van Ruisdael		Ruisdael, Jacob van	Dutch	1628	1682	ca. 1670	1665	1675	Oil on canvas	39 3/8 x 51 1/4 in. (100 x 130.2 cm)	Bequest of Benjamin Altman, 1913							Paintings		http://www.metmuseum.org/art/collection/search/437549	Metropolitan Museum of Art, New York, NY
22.75	True	European Paintings	Painting	The Holy Family with the Young Saint John the Baptist		Artist		Andrea del Sarto (Andrea d'Agnolo)		Sarto, Andrea del (Andrea d'Agnolo)	Italian	1486	1530		1525	1530	Oil on wood	53 1/2 x 39 5/8 in. (135.9 x 100.6 cm)	Maria DeWitt Jesup Fund, 1922							Paintings		http://www.metmuseum.org/art/collection/search/437609	Metropolitan Museum of Art, New York, NY
61.101.17	True	European Paintings	Painting	Circus Sideshow (Parade de cirque)		Artist		Georges Seurat		Seurat, Georges	French	1859	1891	1887–88	1887	1888	Oil on canvas	39 1/4 x 59 in. (99.7 x 149.9 cm)	Bequest of Stephen C. Clark, 1960							Paintings		http://www.metmuseum.org/art/collection/search/437654	Metropolitan Museum of Art, New York, NY
41.100.23	True	European Paintings	Painting	Saint Andrew		Artist		Simone Martini		Martini, Simone	Italian	1315	1344	ca. 1326	1321	1331	Tempera on wood, gold ground	22 1/2 x 14 7/8 in. (57.2 x 37.8 cm)	Gift of George Blumenthal, 1941							Paintings		http://www.metmuseum.org/art/collection/search/437675	Metropolitan Museum of Art, New York, NY
58.89	True	European Paintings	Painting	Merry Company on a Terrace		Artist		Jan Steen		Steen, Jan	Dutch	1626	1679	ca. 1670	1665	1675	Oil on canvas	55 1/2 x 51 3/4 in. (141 x 131.4 cm)	Fletcher Fund, 1958							Paintings		http://www.metmuseum.org/art/collection/search/437749	Metropolitan Museum of Art, New York, NY
1984.459.1	True	European Paintings	Painting	Clothing the Naked		Artist		Michiel Sweerts		Sweerts, Michiel	Flemish	1618	1664	ca. 1661	1656	1666	Oil on canvas	32 1/4 x 45 in. (81.9 x 114.3 cm)	Gift of Mr. and Mrs. Charles Wrightsman, 1984							Paintings		http://www.metmuseum.org/art/collection/search/437769	Metropolitan Museum of Art, New York, NY
1977.1.3	True	European Paintings	Painting, sketch	Allegory of the Planets and Continents		Artist		Giovanni Battista Tiepolo		Tiepolo, Giovanni Battista	Italian	1696	1770	1752	1752	1752	Oil on canvas	73 x 54 7/8 in. (185.4 x 139.4 cm)	Gift of Mr. and Mrs. Charles Wrightsman, 1977							Paintings		http://www.metmuseum.org/art/collection/search/437790	Metropolitan Museum of Art, New York, NY
49.7.16	True	European Paintings	Painting	Venus and Adonis		Artist		Titian (Tiziano Vecellio)		Titian (Tiziano Vecellio)	Italian	1485	1576		1508	1576	Oil on canvas	42 x 52 1/2 in. (106.7 x 133.4 cm)	The Jules Bache Collection, 1949							Paintings		http://www.metmuseum.org/art/collection/search/437826	Metropolitan Museum of Art, New York, NY
51.33.2	True	European Paintings	Painting	The Sofa		Artist		Henri de Toulouse-Lautrec		Toulouse-Lautrec, Henri de	French	1864	1901	ca. 1894–96	1894	1896	Oil on cardboard	24 3/4 x 31 7/8 in. (62.9 x 81 cm)	Rogers Fund, 1951							Paintings		http://www.metmuseum.org/art/collection/search/437837	Metropolitan Museum of Art, New York, NY
99.31	True	European Paintings	Painting	Venice, from the Porch of Madonna della Salute		Artist		Joseph Mallord William Turner		Turner, Joseph Mallord William	British	1775	1851	ca. 1835	1830	1835	Oil on canvas	36 x 48 1/8 in. (91.4 x 122.2 cm)	Bequest of Cornelius Vanderbilt, 1899							Paintings		http://www.metmuseum.org/art/collection/search/437853	Metropolitan Museum of Art, New York, NY
96.29	True	European Paintings	Painting	Whalers		Artist		Joseph Mallord William Turner		Turner, Joseph Mallord William	British	1775	1851	ca. 1845	1840	1850	Oil on canvas	36 1/8 x 48 1/4 in. (91.8 x 122.6 cm)	Catharine Lorillard Wolfe Collection, Wolfe Fund, 1896							Paintings		http://www.metmuseum.org/art/collection/search/437854	Metropolitan Museum of Art, New York, NY
1971.86	True	European Paintings	Painting	Juan de Pareja (1606–1670)		Artist		Velázquez (Diego Rodríguez de Silva y Velázquez)		Velázquez (Diego Rodríguez de Silva y Velázquez)	Spanish	1599	1660	1650	1650	1650	Oil on canvas	32 x 27 1/2 in. (81.3 x 69.9 cm)	Purchase, Fletcher and Rogers Funds, and Bequest of Miss Adelaide Milton de Groot (1876–1967), by exchange, supplemented by gifts from friends of the Museum, 1971							Paintings		http://www.metmuseum.org/art/collection/search/437869	Metropolitan Museum of Art, New York, NY
1979.396.1	True	European Paintings	Painting	Study of a Young Woman		Artist		Johannes Vermeer		Vermeer, Johannes	Dutch	1632	1675	ca. 1665–67	1665	1667	Oil on canvas	17 1/2 x 15 3/4 in. (44.5 x 40 cm)	Gift of Mr. and Mrs. Charles Wrightsman, in memory of Theodore Rousseau Jr., 1979							Paintings		http://www.metmuseum.org/art/collection/search/437879	Metropolitan Museum of Art, New York, NY
89.15.21	True	European Paintings	Painting	Young Woman with a Water Pitcher		Artist		Johannes Vermeer		Vermeer, Johannes	Dutch	1632	1675	ca. 1662	1657	1667	Oil on canvas	18 x 16 in. (45.7 x 40.6 cm)	Marquand Collection, Gift of Henry G. Marquand, 1889							Paintings		http://www.metmuseum.org/art/collection/search/437881	Metropolitan Museum of Art, New York, NY
10.189	True	European Paintings	Painting	Mars and Venus United by Love		Artist		Paolo Veronese (Paolo Caliari)		Veronese, Paolo (Paolo Caliari)	Italian	1528	1588	1570s	1570	1579	Oil on canvas	81 x 63 3/8 in. (205.7 x 161 cm)	John Stewart Kennedy Fund, 1910							Paintings		http://www.metmuseum.org/art/collection/search/437891	Metropolitan Museum of Art, New York, NY
34.138	True	European Paintings	Painting	Mezzetin		Artist		Antoine Watteau		Watteau, Antoine	French	1684	1721	ca. 1718–20	1718	1720	Oil on canvas	21 3/4 x 17 in. (55.2 x 43.2 cm)	Munsey Fund, 1934							Paintings		http://www.metmuseum.org/art/collection/search/437926	Metropolitan Museum of Art, New York, NY
27.137	True	European Paintings	Painting	The Young Virgin		Artist		Francisco de Zurbarán		Zurbarán, Francisco de	Spanish	1598	1664	ca. 1632–33	1632	1633	Oil on canvas	46 x 37 in. (116.8 x 94 cm)	Fletcher Fund, 1927							Paintings		http://www.metmuseum.org/art/collection/search/437971	Metropolitan Museum of Art, New York, NY
49.3	True	European Paintings	Painting	Cypresses		Artist		Vincent van Gogh		Gogh, Vincent van	Dutch	1853	1890	1889	1889	1889	Oil on canvas	36 3/4 x 29 1/8 in. (93.4 x 74 cm)	Rogers Fund, 1949							Paintings		http://www.metmuseum.org/art/collection/search/437980	Metropolitan Museum of Art, New York, NY
1997.167	True	European Paintings	Painting	The Denial of Saint Peter		Artist		Caravaggio (Michelangelo Merisi)		Caravaggio (Michelangelo Merisi)	Italian	1571	1610	1610	1610	1610	Oil on canvas	37 x 49 3/8 in. (94 x 125.4 cm)	Gift of Herman and Lila Shickman, and Purchase, Lila Acheson Wallace Gift, 1997							Paintings		http://www.metmuseum.org/art/collection/search/437986	Metropolitan Museum of Art, New York, NY
2000.51	True	European Paintings	Painting	Two Men Contemplating the Moon		Artist		Caspar David Friedrich		Friedrich, Caspar David	German	1774	1840	ca. 1825–30	1825	1830	Oil on canvas	13 3/4 x 17 1/4 in. (34.9 x 43.8 cm)	Wrightsman Fund, 2000							Paintings		http://www.metmuseum.org/art/collection/search/438417	Metropolitan Museum of Art, New York, NY
2002.436	True	European Paintings	Painting	The Crucifixion		Artist		Pietro Lorenzetti		Lorenzetti, Pietro	Italian	1320	1344	1340s	1340	1344	Tempera and gold leaf on wood	Overall 16 1/2 x 12 1/2 in. (41.9 x 31.8 cm); painted surface 14 1/8 x 10 1/8 in. (35.9 x 25.7 cm)	Purchase, Lila Acheson Wallace Gift and Gwynne Andrews Fund, 2002							Paintings		http://www.metmuseum.org/art/collection/search/438605	Metropolitan Museum of Art, New York, NY
2004.442	True	European Paintings	Painting	Madonna and Child		Artist		Duccio di Buoninsegna		Duccio di Buoninsegna	Italian	1278	1318	ca. 1290–1300	1290	1300	Tempera and gold on wood	Overall, with engaged frame, 11 x 8 1/4 in. (27.9 x 21 cm); painted surface 9 3/8 x 6 1/2 in. (23.8 x 16.5 cm)	Purchase, Rogers Fund, Walter and Leonore Annenberg and The Annenberg Foundation Gift, Lila Acheson Wallace Gift, Annette de la Renta Gift, Harris Brisbane Dick, Fletcher, Louis V. Bell, and Dodge Funds, Joseph Pulitzer Bequest, several members of The Chairman's Council Gifts, Elaine L. Rosenberg and Stephenson Family Foundation Gifts, 2003 Benefit Fund, and other gifts and funds from various donors, 2004							Paintings		http://www.metmuseum.org/art/collection/search/438754	Metropolitan Museum of Art, New York, NY
3.3	True	European Paintings	Painting	The Abduction of Rebecca		Artist		Eugène Delacroix		Delacroix, Eugène	French	1798	1863	1846	1846	1846	Oil on canvas	39 1/2 x 32 1/4 in. (100.3 x 81.9 cm)	Catharine Lorillard Wolfe Collection, Wolfe Fund, 1903							Paintings		http://www.metmuseum.org/art/collection/search/438814	Metropolitan Museum of Art, New York, NY
7.122	True	European Paintings	Painting	Madame Georges Charpentier (Marguérite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Émile-Charles (1875–1895)		Artist		Auguste Renoir		Renoir, Auguste	French	1841	1919	1878	1878	1878	Oil on canvas	60 1/2 x 74 7/8 in. (153.7 x 190.2 cm)	Catharine Lorillard Wolfe Collection, Wolfe Fund, 1907							Paintings		http://www.metmuseum.org/art/collection/search/438815	Metropolitan Museum of Art, New York, NY
1987.47.1	True	European Paintings	Painting	The Dance Class		Artist		Edgar Degas		Degas, Edgar	French	1834	1917	1874	1874	1874	Oil on canvas	32 7/8 x 30 3/8 in. (83.5 x 77.2 cm)	Bequest of Mrs. Harry Payne Bingham, 1986							Paintings		http://www.metmuseum.org/art/collection/search/438817	Metropolitan Museum of Art, New York, NY
29.100.23	True	European Paintings	Painting	Joseph-Antoine Moltedo (born 1775)		Artist		Jean Auguste Dominique Ingres		Ingres, Jean Auguste Dominique	French	1780	1867	ca. 1810	1805	1815	Oil on canvas	29 5/8 x 22 7/8 in. (75.2 x 58.1 cm)	H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929							Paintings		http://www.metmuseum.org/art/collection/search/438818	Metropolitan Museum of Art, New York, NY
51.112.2	True	European Paintings	Painting	Ia Orana Maria (Hail Mary)		Artist		Paul Gauguin		Gauguin, Paul	French	1848	1903	1891	1891	1891	Oil on canvas	44 3/4 x 34 1/2 in. (113.7 x 87.6 cm)	Bequest of Sam A. Lewisohn, 1951							Paintings		http://www.metmuseum.org/art/collection/search/438821	Metropolitan Museum of Art, New York, NY
51.112.5	True	European Paintings	Painting	The Repast of the Lion		Artist		Henri Rousseau (le Douanier)		Rousseau, Henri (le Douanier)	French	1844	1910	ca. 1907	1902	1912	Oil on canvas	44 3/4 x 63 in. (113.7 x 160 cm)	Bequest of Sam A. Lewisohn, 1951							Paintings		http://www.metmuseum.org/art/collection/search/438822	Metropolitan Museum of Art, New York, NY
2008.459	True	European Paintings	Painting	Lute Player		Artist		Valentin de Boulogne		Valentin de Boulogne	French	1591	1632	ca. 1625–26	1625	1626	Oil on canvas	50 1/2 x 39 in. (128.3 x 99.1 cm)	Purchase, Walter and Leonore Annenberg Acquisitions Endowment Fund; Director's Fund; Acquisitions Fund; James and Diane Burke and Mr. and Mrs. Mark Fisch Gifts; Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest, 2008							Paintings		http://www.metmuseum.org/art/collection/search/439933	Metropolitan Museum of Art, New York, NY
