accession_number,public_domain,department,object_name,title,Artist Role,Artist Prefix,Artist Display Name,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,object_begin_date,object_end_date,acquisition_type,acquisition_date,city,country,region,classification,rights,web_link,Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008.547.1,TRUE,European Paintings,Painting,Bashi-Bazouk,,,,,,,,,1868–69,1868,1869,Gift of Mrs. Charles Wrightsman,2008,,,,Paintings,,http://www.metmuseum.org/art/collection/search/440723,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.1.535a–h,TRUE,Islamic Art,Astrolabe,Astrolabe of ‘Umar ibn Yusuf ibn ‘Umar ibn ‘Ali ibn Rasul al-Muzaffari,,,,,,,,,dated A.H. 690/ A.D. 1291,1266,1316,Edward C. Moore Collection Bequest of Edward C. Moore,1891,,Yemen,,Metal,,http://www.metmuseum.org/art/collection/search/444408,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.1.540,TRUE,Islamic Art,Brazier,Brazier of Sultan al-Malik al-Muzaffar Shams al-Din Yusuf ibn 'Umar,,,,,,,,,second half 13th century,1250,1299,Edward C. Moore Collection Bequest of Edward C. Moore,1891,,Egypt,,Metal,,http://www.metmuseum.org/art/collection/search/444540,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.1.607,TRUE,Islamic Art,Ewer,Dragon-Handled Jug with Inscription,,,,,,,,,late 15th– first quarter 16th century,1475,1525,Edward C. Moore Collection Bequest of Edward C. Moore,1891,probably Herat,present-day Afghanistan,,Metal,,http://www.metmuseum.org/art/collection/search/444607,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.1.2064,TRUE,Islamic Art,Pair of doors,Pair of Minbar Doors,,,,,,,,,ca. 1325–30,1300,1355,Edward C. Moore Collection Bequest of Edward C. Moore,1891,Cairo,Egypt,,Wood,,http://www.metmuseum.org/art/collection/search/444812,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.5.91,TRUE,Islamic Art,Tile,Tile with Floral and Cloud-band Design,,,,,,,,,ca. 1578,1553,1603,Gift of William B. Osgood Field,1902,Iznik,Turkey,,Ceramics Tiles,,http://www.metmuseum.org/art/collection/search/444897,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.167.1,TRUE,Islamic Art,Carpet,'Lotto' Carpet,,,,,,,,,16th century,1500,1599,Rogers Fund,1908,,Turkey,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/445297,Metropolitan Museum of Art New York NY, several members of The Chairman's Council Gifts, Elaine L. Rosenberg and Stephenson Family Foundation Gifts, 2003 Benefit Fund," and other gifts and funds from various donors""	2004				Paintings		http://www.metmuseum.org/art/collection/search/438754	""Metropolitan Museum of Art", New York," NY""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.205.2,TRUE,Islamic Art,Panel,Panel with Horse Heads,Author,,`Abd al-Rahman al-Sufi,,Al-Sufi `Abd al-Rahman,Persian,903,986,11th century,1000,1099,Rogers Fund,1911,,Egypt,,Wood,,http://www.metmuseum.org/art/collection/search/446191,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.72.5,TRUE,Islamic Art,Fragment,Velvet Panel with Flowering Plants,Artist|Poet,Painting attributed to,Miskin|Amir Khusrau Dihlavi,,Miskin|Amir Khusrau Dihlavi,,1545      |1228      ,1630      |1350      ,first half 17th century,1600,1650,Rogers Fund,1912,,Iran,,Textiles,,http://www.metmuseum.org/art/collection/search/446218,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.141,TRUE,Islamic Art,Panel,Panel from a Rectangular Box,Artist|Poet,Attributed to,Miskin|Amir Khusrau Dihlavi,,Miskin|Amir Khusrau Dihlavi,,1545      |1228      ,1630      |1350      ,10th–early 11th century,975,1025,John Stewart Kennedy Fund,1913,probably Cordoba,Spain,,Ivories Bone,,http://www.metmuseum.org/art/collection/search/446285,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.160.10,TRUE,Islamic Art,Illustrated manuscript,Kitab suwar al-kawakib al-thabita (Book of the Images of the Fixed Stars) of al-Sufi,Artist|Calligrapher|Poet,Painting by,Basawan|Muhammad Husain Kashmiri|Amir Khusrau Dihlavi,,Basawan|Muhammad Husain Kashmiri|Amir Khusrau Dihlavi,Indian,1556      |1535      |1228      ,1600      |1635      |1350      ,late 15th century,1475,1499,Rogers Fund,1913,,Iran,,Codices,,http://www.metmuseum.org/art/collection/search/446297,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.228.26,TRUE,Islamic Art,Folio from an illustrated manuscript,"""A King Offers to Make Amends to a Bereaved Mother"" Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Artist|Calligrapher|Poet,Painting by,Manohar|Muhammad Husain Kashmiri|Amir Khusrau Dihlavi,,Manohar|Muhammad Husain Kashmiri|Amir Khusrau Dihlavi,,1577      |1535      |1228      ,1624      |1635      |1350      ,1597–98,1572,1623,Gift of Alexander Smith Cochran,1913,,India,,Codices,,http://www.metmuseum.org/art/collection/search/446560,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.228.28,TRUE,Islamic Art,Folio from an illustrated manuscript,"""Bahram Gur Sees a Herd of Deer Mesmerized by Dilaram' s Music"" Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Calligrapher|Calligrapher|Artist|Author,Painting by,Sultan Muhammad Nur|Mahmud Muzahhib|Shaikh Zada|Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja),,Sultan Muhammad Nur|Mahmud Muzahib|Shaykh Zada|Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja),,1448      |1141      ,1561      |1217      ,1597–98,1572,1623,Gift of Alexander Smith Cochran,1913,,India,,Codices,,http://www.metmuseum.org/art/collection/search/446562,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.228.29,TRUE,Islamic Art,Folio from an illustrated manuscript,"""A Muslim Pilgrim Learns a Lesson in Piety from a Brahman"" Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",,,,,,,,,1597–98,1572,1623,Gift of Alexander Smith Cochran,1913,,India,,Codices,,http://www.metmuseum.org/art/collection/search/446563,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.228.33,TRUE,Islamic Art,Folio from an illustrated manuscript,"""The Story of the Princess of the Blue Pavillion: The Youth of Rum Is Entertained in a Garden by a Fairy and her Maidens"" Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",,,,,,,,,1597–98,1572,1623,Gift of Alexander Smith Cochran,1913,,India,,Codices,,http://www.metmuseum.org/art/collection/search/446567,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.228.7.5,TRUE,Islamic Art,Folio from an illustrated manuscript,"""Farhad Carves a Milk Channel for Shirin"" Folio 74 from a Khamsa (Quintet) of Nizami",,,,,,,,,A.H. 931/A.D. 1524–25,1500,1550,Gift of Alexander Smith Cochran,1913,Herat,present-day Afghanistan,,Codices,,http://www.metmuseum.org/art/collection/search/446595,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.40.721,TRUE,Islamic Art,Carpet,Silk Animal Carpet,Artist|Poet,Painting attributed to,Bihzad|Hafiz,,Bihzad|Hafiz,,1450      |1325      ,1536      |1390      ,second half 16th century,1650,1699,Bequest of Benjamin Altman,1913,probably Kashan,Iran,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/446642,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.40.725,TRUE,Islamic Art,Carpet,Carpet with Scrolling Vines and Blossoms,,,,,,,,,ca. 1650,1625,1675,Bequest of Benjamin Altman,1913,Kashmir or Lahore,Northern India or Pakistan,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/446646,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.87,TRUE,Islamic Art,Bowl,Luster Bowl with Winged Horse,,,,,,,,,late 12th century,1175,1199,Rogers Fund,1916,,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/446860,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.81.4,TRUE,Islamic Art,Folio from an illustrated manuscript,"""Dancing Dervishes"" Folio from a Divan of Hafiz",,,,,,,,,ca. 1480,1455,1505,Rogers Fund,1917,Herat,present-day Afghanistan,,Codices,,http://www.metmuseum.org/art/collection/search/446892,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.190.241,TRUE,Islamic Art,Casket,Morgan Casket,,,,,,,,,11th–12th century,1000,1199,Gift of J. Pierpont Morgan,1917,,Southern Italy,,Ivories Bone,,http://www.metmuseum.org/art/collection/search/446990,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.190.829,FALSE,Islamic Art,Bottle,Swan-Neck Glass Bottle,Author,,Muhammad ibn Badr al-Din Jajarmi,,Muhammad ibn Badr al-Din Jajarmi,,1315,1365,19th century,1800,1899,Gift of J. Pierpont Morgan,1917,,Iran,,Glass,,http://www.metmuseum.org/art/collection/search/446996,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.190.858,TRUE,Islamic Art,Carpet,Carpet with Palm Trees Ibexes and Birds,,,,,,,,,late 16th–early 17th century,1575,1625,Gift of J. Pierpont Morgan,1917,Lahore,present-day Pakistan,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/446999,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.190.985,TRUE,Islamic Art,Mosque lamp,Mosque Lamp for the Mausoleum of Amir Aydakin al-'Ala'i al-Bunduqdar,,,,,,,,,shortly after 1285,1260,1310,Gift of J. Pierpont Morgan,1917,probably Cairo,Egypt,,Glass,,http://www.metmuseum.org/art/collection/search/447000,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.68.1,TRUE,Islamic Art,Folio from an illustrated manuscript,Folio from a Mu'nis al-ahrar fi daqa'iq al-ash'ar (The Free Man's Companion to the Subtleties of Poems) of Jajarmi,,,,,,,,,A.H. 741/A.D. 1340–41,1315,1365,Rogers Fund,1919,Isfahan,Iran,,Codices,,http://www.metmuseum.org/art/collection/search/447071,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.135.3,TRUE,Islamic Art,Finial,Finial in the Form of a Parrot,,,,,,,,,17th–18th century,1600,1799,Gift of Robert W. and Lockwood De Forest,1919,,Northern India,,Metal,,http://www.metmuseum.org/art/collection/search/447086,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.100.51,TRUE,Islamic Art,Carpet,Carpet with Triple-arch Design,,,,,,,,,ca. 1575–90,1550,1615,The James F. Ballard Collection Gift of James F. Ballard,1922,probably Istanbul,Turkey,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/447509,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.100.52,TRUE,Islamic Art,Carpet,Mamluk Carpet,,,,,,,,,early 16th century,1500,1525,The James F. Ballard Collection Gift of James F. Ballard,1922,probably Cairo,probably Egypt,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/447510,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.100.110,TRUE,Islamic Art,Carpet,Star Ushak Carpet,,,,,,,,,probably 17th century,1600,1699,The James F. Ballard Collection Gift of James F. Ballard,1922,,West Central Turkey,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/447568,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.100.114,TRUE,Islamic Art,Carpet,"""Bellini"" carpet",,,,,,,,,16th–17th century,1500,1699,The James F. Ballard Collection Gift of James F. Ballard,1922,,Turkey,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/447572,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.63.1,TRUE,Islamic Art,Folio from an illustrated manuscript,"""Krishna Holds Up Mount Govardhan to Shelter the Villagers of Braj"" Folio from a Harivamsa (The Legend of Hari (Krishna))",,,,,,,,,ca. 1590–95,1565,1620,Purchase Edward C. Moore Jr. Gift,1928,probably Lahore,present-day Pakistan,,Codices,,http://www.metmuseum.org/art/collection/search/448183,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.22,TRUE,Islamic Art,Fragment,Textile Fragment,,,,,,,,,14th century,1300,1399,Fletcher Fund,1929,,Spain,,Textiles Woven,,http://www.metmuseum.org/art/collection/search/448232,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.160.23,TRUE,Islamic Art,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,,,,,,,,ca. 1180,1155,1205,H. O. Havemeyer Collection Gift of Horace Havemeyer,1929,,Eastern Iran or present-day Afghanistan,,Codices,,http://www.metmuseum.org/art/collection/search/448281,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.160.24,TRUE,Islamic Art,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,,,,,,,,ca. 1180,1155,1205,H. O. Havemeyer Collection Gift of Horace Havemeyer,1929,,Eastern Iran or present-day Afghanistan,,Codices,,http://www.metmuseum.org/art/collection/search/448282,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.179.9,TRUE,Islamic Art,Tiraz fragment,Tiraz Textile Fragment,,,,,,,,,late 9th–early 10th century,875,925,Gift of George D. Pratt,1929,,Yemen,,Textiles,,http://www.metmuseum.org/art/collection/search/448294,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.45,TRUE,Islamic Art,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,Author,,Abu'l Qasim Firdausi,,Abu'l Qasim Firdausi,,935,1020,late 9th–early 10th century,875,925,Gift of Rudolf M. Riefstahl,1930,,probably Syria,,Codices,,http://www.metmuseum.org/art/collection/search/448369,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.95.37,TRUE,Islamic Art,Pendant,Crescent-Shaped Pendant with Confronted Birds,,,,,,,,,11th century,1000,1099,Theodore M. Davis Collection Bequest of Theodore M. Davis,1915,,Egypt,,Jewelry,,http://www.metmuseum.org/art/collection/search/448401,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.52.1,TRUE,Islamic Art,Ewer,Pierced Jug with Harpies and Sphinxes,,,,,,,,,dated A.H. 612/ A.D. 1215–16,1190,1241,Fletcher Fund,1932,Kashan,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/448671,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.7,TRUE,Islamic Art,Folio from an illustrated manuscript,"""The Funeral of Isfandiyar"" Folio from a Shahnama (Book of Kings)",,,,,,,,,1330s,1305,1355,Purchase Joseph Pulitzer Bequest,1933,Tabriz,Iran,,Codices,,http://www.metmuseum.org/art/collection/search/448938,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.40.46,FALSE,Islamic Art,Dado panel,Dado Panel,,,,,,,,,20th century,1900,1999,Rogers Fund,1937,Nishapur,Iran,,Reproductions,,http://www.metmuseum.org/art/collection/search/449154,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.103,TRUE,Islamic Art,Panel,Panel (Lid from a Chest?),,,,,,,,,second half 8th century,750,799,Samuel D. Lee Fund,1937,,probably Egypt,,Wood,,http://www.metmuseum.org/art/collection/search/449211,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.40.118,TRUE,Islamic Art,Bowl,"Bowl with Inscription ""Sovereignty is God's""",,,,,,,,,late 9th–early 10th century,875,925,Rogers Fund,1938,Nishapur,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/449330,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.40.137,TRUE,Islamic Art,Bowl,Bowl with Green Yellow and Brown Splashed Decoration,,,,,,,,,10th century,900,999,Rogers Fund,1938,Nishapur,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/449348,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.40.247,TRUE,Islamic Art,Ewer,Animal-Spouted Pitcher,,,,,,,,,9th–10th century,800,999,Rogers Fund,1938,Nishapur and Nishapur,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/449457,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.149.1,TRUE,Islamic Art,Tughra,Tughra (Official Signature) of Sultan Süleiman the Magnificent (r. 1520–66),,,,,,,,,ca. 1555–60,1530,1585,Rogers Fund,1938,Istanbul,Turkey,,Codices,,http://www.metmuseum.org/art/collection/search/449533,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.149.2,TRUE,Islamic Art,Tughra,Tughra (Official Signature) of Sultan Süleiman the Magnificent (r. 1520–66),,,,,,,,,ca. 1555–60,1530,1585,Rogers Fund,1938,Istanbul,Turkey,,Codices,,http://www.metmuseum.org/art/collection/search/449534,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.2,TRUE,Islamic Art,Mihrab,Mihrab (Prayer Niche),,,,,,,,,A.H. 755/A.D. 1354–55,1330,1380,Harris Brisbane Dick Fund,1939,Isfahan,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/449537,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.40.87,TRUE,Islamic Art,Lantern,Lantern for a Lamp,,,,,,,,,9th–10th century,800,999,Rogers Fund,1939,Nishapur and Nishapur,Iran,,Ceramics,,http://www.metmuseum.org/art/collection/search/449619,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.15,TRUE,Islamic Art,Bottle,Enameled and Gilded Bottle,,,,,,,,,late 13th century,1275,1299,Rogers Fund,1941,possibly Cairo,Egypt,,Glass,,http://www.metmuseum.org/art/collection/search/450409,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.63,TRUE,Islamic Art,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,,,,,,,,late 13th–early 14th century,1275,1325,Rogers Fund,1942,,Spain,,Codices,,http://www.metmuseum.org/art/collection/search/450486,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.121.1,TRUE,Islamic Art,Carpet,The Emperor's Carpet,,,,,,,,,second half 16th century,1550,1599,Rogers Fund,1943,,Iran,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/450509,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.15,TRUE,Islamic Art,Ewer,Ewer,,,,,,,,,ca. 1180–1210,1155,1235,Rogers Fund,1944,,Iran or Afghanistan,Khurasan or Herat,Metal,,http://www.metmuseum.org/art/collection/search/450513,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.128,TRUE,Islamic Art,Carpet,The Anhalt Medallion Carpet,Artist,Painting by,Riza-yi `Abbasi,,Riza-yi `Abbasi,,1540,1660,probably first half 16th century,1500,1550,Gift of Samuel H. Kress Foundation,1946,,Iran,,Textiles Rugs,,http://www.metmuseum.org/art/collection/search/450716,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.100.90,TRUE,Islamic Art,Ewer,Ewer with a Feline-Shaped Handle,Maker,,Ja`far ibn Muhammad ibn `Ali,,Ja'far ibn Muhammad ibn `Ali,,,,7th century,600,699,Fletcher Fund,1947,,Iran,,Metal,,http://www.metmuseum.org/art/collection/search/450748,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.101.70,TRUE,Islamic Art,Strand of beads,Strand of Beads,,,,,,,,,9th–12th century,800,1199,Rogers Fund,1948,Nishapur,Iran,,Jewelry,,http://www.metmuseum.org/art/collection/search/450818,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.164,TRUE,Islamic Art,Illustrated single work,The Lovers,,,,,,,,,dated A.H. 1039/ A.D. 1630,1605,1655,Purchase Francis M. Weld Gift,1950,Isfahan,Iran,,Codices,,http://www.metmuseum.org/art/collection/search/451023,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.56,TRUE,Islamic Art,Incense burner,Incense Burner of Amir Saif al-Dunya wa’l-Din ibn Muhammad al-Mawardi,,,,,,,,,dated A.H. 577/ A.D. 1181–82,1166,1207,Rogers Fund,1951,Taybad,Iran,,Metal,,http://www.metmuseum.org/art/collection/search/451042,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.20.11,TRUE,Islamic Art,Fragment,Velvet with Figural Imagery,,,,,,,,,mid-16th century,1525,1575,Purchase Joseph Pulitzer Bequest,1952,,Iran,,Textiles,,http://www.metmuseum.org/art/collection/search/451091,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.20.12,TRUE,Islamic Art,Panel,Safavid Courtiers Leading Georgian Captives,,,,,,,,,mid-16th century,1525,1575,Purchase Joseph Pulitzer Bequest,1952,,Iran,,Textiles Woven,,http://www.metmuseum.org/art/collection/search/451092,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.20.15,TRUE,Islamic Art,Fragment,Fragment of a Kaftan Back,Calligrapher|Illuminator,,Ahmad ibn al-Suhrawardi al-Bakri|Muhammad ibn Aibak ibn 'Abdallah,,"Ibn al-Suhrawardi al-Bakri, Ahmad|Muhammad ibn Aibak ibn 'Abdallah",,1300,1345,mid-16th century,1525,1575,Purchase Joseph Pulitzer Bequest,1952,probably Istanbul,Turkey,,Textiles Woven,,http://www.metmuseum.org/art/collection/search/451095,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.20.21,TRUE,Islamic Art,Fragment,Fragmentary Loom Width with Wavy-vine Pattern,Artist|Calligrapher,Painting by,Govardhan|Mir 'Ali Haravi,,Govardhan|Mir 'Ali Haravi,,1596      |1525      ,1645      |1575      ,ca. 1565–80,1540,1605,Purchase Joseph Pulitzer Bequest,1952,probably Istanbul,Turkey,,Textiles,,http://www.metmuseum.org/art/collection/search/451101,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.20.22,TRUE,Islamic Art,Fragment,Fragment,Artist,Painting by,Chitarman,,Chitarman,,1627,1670,mid-16th century,1525,1575,Purchase Joseph Pulitzer Bequest,1952,probably Istanbul,Turkey,,Textiles Woven,,http://www.metmuseum.org/art/collection/search/451102,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.44,TRUE,Islamic Art,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,,,,,,,,dated A.H. 707/ A.D. 1307–8,1282,1333,Rogers Fund,1955,Baghdad,Iraq,,Codices,,http://www.metmuseum.org/art/collection/search/451203,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.121.10.22,TRUE,Islamic Art,Album leaf,"""Akbar With Lion and Calf"" Folio from the Shah Jahan Album",,,,,,,,,verso: ca. 1630; recto: ca. 1530–50,1505,1655,Purchase Rogers Fund and The Kevorkian Foundation Gift,1955,,India,,Codices,,http://www.metmuseum.org/art/collection/search/451268,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.121.10.24,TRUE,Islamic Art,Album leaf,"""Shah Jahan on a Terrace Holding a Pendant Set With His Portrait"" Folio from the Shah Jahan Album",,,,,,,,,recto: 1627–28; verso: ca. 1530–50,1603,1654,Purchase Rogers Fund and The Kevorkian Foundation Gift,1955,,India,,Codices,,http://www.metmuseum.org/art/collection/search/451270,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.121.10.39,TRUE,Islamic Art,Album leaf,"""Rosette Bearing the Names and Titles of Shah Jahan"" Folio from the Shah Jahan Album",,,,,,,,,recto: ca. 1645; verso: ca. 1630–40,1605,1670,Purchase Rogers Fund and The Kevorkian Foundation Gift,1955,,India,,Codices,,http://www.metmuseum.org/art/collection/search/451286,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
